kommunenr_2024,kommunenavn_2024,kilde,kommunenr_historiske,kommunenavn_historiske
4205,Lindesnes,kommunenr_1977,1021,Marnardal
4205,Lindesnes,kommunenr_1977,1029,Lindesnes
4205,Lindesnes,kommunenr_2020,4205,Lindesnes
4206,Farsund,kommunenr_1977,1003,Farsund
4206,Farsund,kommunenr_2020,4206,Farsund
4207,Flekkefjord,kommunenr_1977,1004,Flekkefjord
4207,Flekkefjord,kommunenr_2020,4207,Flekkefjord
4211,Gjerstad,kommunenr_1977,0911,Gjerstad
4211,Gjerstad,kommunenr_2020,4211,Gjerstad
4212,Vegårshei,kommunenr_2020,4212,Vegårshei
4212,Vegårshei,kommunenr_1977,0912,Vegårshei
4213,Tvedestrand,kommunenr_1977,0914,Tvedestrand
4213,Tvedestrand,kommunenr_2020,4213,Tvedestrand
4214,Froland,kommunenr_2020,4214,Froland
4214,Froland,kommunenr_1977,0919,Froland
4215,Lillesand,kommunenr_1977,0926,Lillesand
4215,Lillesand,kommunenr_2020,4215,Lillesand
4216,Birkenes,kommunenr_1977,0928,Birkenes
4216,Birkenes,kommunenr_2020,4216,Birkenes
4217,Åmli,kommunenr_2020,4217,Åmli
4217,Åmli,kommunenr_1977,0929,Åmli
4218,Iveland,kommunenr_2020,4218,Iveland
4218,Iveland,kommunenr_1977,0935,Iveland
4219,Evje og Hornnes,kommunenr_2020,4219,Evje og Hornnes
4219,Evje og Hornnes,kommunenr_1977,0937,Evje og Hornnes
4220,Bygland,kommunenr_1977,0938,Bygland
4220,Bygland,kommunenr_2020,4220,Bygland
4221,Valle,kommunenr_2020,4221,Valle
4221,Valle,kommunenr_1977,0940,Valle
4222,Bykle,kommunenr_2020,4222,Bykle
4222,Bykle,kommunenr_1977,0941,Bykle
4223,Vennesla,kommunenr_1977,1014,Vennesla
4223,Vennesla,kommunenr_2020,4223,Vennesla
4224,Åseral,kommunenr_2020,4224,Åseral
4224,Åseral,kommunenr_1977,1026,Åseral
4225,Lyngdal,kommunenr_2020,4225,Lyngdal
4225,Lyngdal,kommunenr_1977,1032,Lyngdal
4225,Lyngdal,kommunenr_1977,1027,Audnedal
4226,Hægebostad,kommunenr_2020,4226,Hægebostad
4226,Hægebostad,kommunenr_1977,1034,Hægebostad
4227,Kvinesdal,kommunenr_2020,4227,Kvinesdal
4227,Kvinesdal,kommunenr_1977,1037,Kvinesdal
4228,Sirdal,kommunenr_2020,4228,Sirdal
4228,Sirdal,kommunenr_1977,1046,Sirdal
4601,Bergen,kommunenr_2020,4601,Bergen
4601,Bergen,kommunenr_1977,1201,Bergen
4602,Kinn,kommunenr_2020,4602,Kinn
4602,Kinn,kommunenr_1977,1439,Vågsøy
4602,Kinn,kommunenr_1977,1401,Flora
4611,Etne,kommunenr_2020,4611,Etne
4611,Etne,kommunenr_1977,1211,Etne
4612,Sveio,kommunenr_1977,1216,Sveio
4612,Sveio,kommunenr_2020,4612,Sveio
4613,Bømlo,kommunenr_2020,4613,Bømlo
4613,Bømlo,kommunenr_1977,1219,Bømlo
4614,Stord,kommunenr_2020,4614,Stord
4614,Stord,kommunenr_1977,1221,Stord
4615,Fitjar,kommunenr_1977,1222,Fitjar
4615,Fitjar,kommunenr_2020,4615,Fitjar
4616,Tysnes,kommunenr_2020,4616,Tysnes
4616,Tysnes,kommunenr_1977,1223,Tysnes
4617,Kvinnherad,kommunenr_2020,4617,Kvinnherad
4617,Kvinnherad,kommunenr_1977,1224,Kvinnherad
4618,Ullensvang,kommunenr_2020,4618,Ullensvang
4618,Ullensvang,kommunenr_1977,1231,Ullensvang
4618,Ullensvang,kommunenr_1977,1227,Jondal
4618,Ullensvang,kommunenr_1977,1228,Odda
4619,Eidfjord,kommunenr_2020,4619,Eidfjord
4619,Eidfjord,kommunenr_1977,1232,Eidfjord
4620,Ulvik,kommunenr_2020,4620,Ulvik
4620,Ulvik,kommunenr_1977,1233,Ulvik
4621,Voss,kommunenr_2020,4621,Voss
4621,Voss,kommunenr_1977,1234,Granvin
4621,Voss,kommunenr_1977,1235,Voss
4622,Kvam,kommunenr_2020,4622,Kvam
4622,Kvam,kommunenr_1977,1238,Kvam
4623,Samnanger,kommunenr_1977,1242,Samnanger
4623,Samnanger,kommunenr_2020,4623,Samnanger
4624,Bjørnafjorden,kommunenr_1977,1243,Os (Hordaland)
4624,Bjørnafjorden,kommunenr_1977,1241,Fusa
4624,Bjørnafjorden,kommunenr_2020,4624,Bjørnafjorden
4625,Austevoll,kommunenr_2020,4625,Austevoll
4625,Austevoll,kommunenr_1977,1244,Austevoll
4626,Øygarden,kommunenr_2020,4626,Øygarden
4626,Øygarden,kommunenr_1977,1246,Fjell
4626,Øygarden,kommunenr_1977,1245,Sund
4626,Øygarden,kommunenr_1977,1259,Øygarden
4627,Askøy,kommunenr_1977,1247,Askøy
4627,Askøy,kommunenr_2020,4627,Askøy
4628,Vaksdal,kommunenr_1977,1251,Vaksdal
4628,Vaksdal,kommunenr_2020,4628,Vaksdal
4629,Modalen,kommunenr_1977,1252,Modalen
4629,Modalen,kommunenr_2020,4629,Modalen
4630,Osterøy,kommunenr_2020,4630,Osterøy
4630,Osterøy,kommunenr_1977,1253,Osterøy
4631,Alver,kommunenr_2020,4631,Alver
4631,Alver,kommunenr_1977,1256,Meland
4631,Alver,kommunenr_1977,1260,Radøy
4631,Alver,kommunenr_1977,1263,Lindås
4632,Austrheim,kommunenr_1977,1264,Austrheim
4632,Austrheim,kommunenr_2020,4632,Austrheim
4633,Fedje,kommunenr_1977,1265,Fedje
4633,Fedje,kommunenr_2020,4633,Fedje
4634,Masfjorden,kommunenr_2020,4634,Masfjorden
4634,Masfjorden,kommunenr_1977,1266,Masfjorden
4635,Gulen,kommunenr_1977,1411,Gulen
4635,Gulen,kommunenr_2020,4635,Gulen
4636,Solund,kommunenr_2020,4636,Solund
4636,Solund,kommunenr_1977,1412,Solund
4637,Hyllestad,kommunenr_2020,4637,Hyllestad
4637,Hyllestad,kommunenr_1977,1413,Hyllestad
4638,Høyanger,kommunenr_2020,4638,Høyanger
4638,Høyanger,kommunenr_1977,1416,Høyanger
4639,Vik,kommunenr_1977,1417,Vik
4639,Vik,kommunenr_2020,4639,Vik
4640,Sogndal,kommunenr_1977,1418,Balestrand
4640,Sogndal,kommunenr_2020,4640,Sogndal
4640,Sogndal,kommunenr_1977,1419,Leikanger
4640,Sogndal,kommunenr_1977,1420,Sogndal
4641,Aurland,kommunenr_2020,4641,Aurland
4641,Aurland,kommunenr_1977,1421,Aurland
4642,Lærdal,kommunenr_1977,1422,Lærdal
4642,Lærdal,kommunenr_2020,4642,Lærdal
4643,Årdal,kommunenr_2020,4643,Årdal
4643,Årdal,kommunenr_1977,1424,Årdal
4644,Luster,kommunenr_1977,1426,Luster
4644,Luster,kommunenr_2020,4644,Luster
4645,Askvoll,kommunenr_1977,1428,Askvoll
4645,Askvoll,kommunenr_2020,4645,Askvoll
4646,Fjaler,kommunenr_2020,4646,Fjaler
4646,Fjaler,kommunenr_1977,1429,Fjaler
4647,Sunnfjord,kommunenr_2020,4647,Sunnfjord
4647,Sunnfjord,kommunenr_1977,1433,Naustdal
4647,Sunnfjord,kommunenr_1977,1432,Førde
4647,Sunnfjord,kommunenr_1977,1431,Jølster
4647,Sunnfjord,kommunenr_1977,1430,Gaular
4648,Bremanger,kommunenr_1977,1438,Bremanger
4648,Bremanger,kommunenr_2020,4648,Bremanger
4649,Stad,kommunenr_1977,1443,Eid
4649,Stad,kommunenr_2020,4649,Stad
4649,Stad,kommunenr_1977,1441,Selje
4650,Gloppen,kommunenr_2020,4650,Gloppen
4650,Gloppen,kommunenr_1977,1445,Gloppen
4651,Stryn,kommunenr_2020,4651,Stryn
4651,Stryn,kommunenr_1977,1449,Stryn
5001,Trondheim,kommunenr_2018,5001,Trondheim
5001,Trondheim,kommunenr_2018,5001,Trondheim - Tråante
5001,Trondheim,kommunenr_1977,1662,Klæbu
5001,Trondheim,kommunenr_1977,1601,Trondheim
5001,Trondheim,kommunenr_2018,5030,Klæbu
5006,Steinkjer,kommunenr_2018,5039,Verran
5006,Steinkjer,kommunenr_2018,5004,Steinkjer
5006,Steinkjer,kommunenr_1977,1702,Steinkjer
5006,Steinkjer,kommunenr_1977,1724,Verran
5006,Steinkjer,kommunenr_2020,5006,Steinkjer
5007,Namsos - Nåavmesjenjaelmie,kommunenr_2018,5048,Fosnes
5007,Namsos - Nåavmesjenjaelmie,kommunenr_2018,5040,Namdalseid
5007,Namsos - Nåavmesjenjaelmie,kommunenr_1977,1748,Fosnes
5007,Namsos - Nåavmesjenjaelmie,kommunenr_1977,1703,Namsos
5007,Namsos - Nåavmesjenjaelmie,kommunenr_2018,5005,Namsos - Nåavmesjenjaelmie
5007,Namsos - Nåavmesjenjaelmie,kommunenr_2020,5007,Namsos - Nåavmesjenjaelmie
5007,Namsos - Nåavmesjenjaelmie,kommunenr_1977,1725,Namdalseid
5007,Namsos - Nåavmesjenjaelmie,kommunenr_2018,5005,Namsos
5014,Frøya,kommunenr_2018,5014,Frøya
5014,Frøya,kommunenr_1977,1620,Frøya
5020,Osen,kommunenr_1977,1633,Osen
5020,Osen,kommunenr_2018,5020,Osen
5021,Oppdal,kommunenr_2018,5021,Oppdal
5021,Oppdal,kommunenr_1977,1634,Oppdal
5022,Rennebu,kommunenr_2018,5022,Rennebu
5022,Rennebu,kommunenr_1977,1635,Rennebu
5025,Røros,kommunenr_2018,5025,Røros - Rosse
5025,Røros,kommunenr_2018,5025,Røros
5025,Røros,kommunenr_1977,1640,Røros
5025,Røros,kommunenr_2018,5025,Røros - Rossen
5026,Holtålen,kommunenr_2018,5026,Holtålen
5026,Holtålen,kommunenr_1977,1644,Holtålen
5027,Midtre Gauldal,kommunenr_1977,1648,Midtre Gauldal
5027,Midtre Gauldal,kommunenr_2018,5027,Midtre Gauldal
5028,Melhus,kommunenr_1977,1653,Melhus
5028,Melhus,kommunenr_2018,5028,Melhus
5029,Skaun,kommunenr_2018,5029,Skaun
5029,Skaun,kommunenr_1977,1657,Skaun
5031,Malvik,kommunenr_2018,5031,Malvik
5031,Malvik,kommunenr_1977,1663,Malvik
5032,Selbu,kommunenr_1977,1664,Selbu
5032,Selbu,kommunenr_2018,5032,Selbu
5033,Tydal,kommunenr_1977,1665,Tydal
5033,Tydal,kommunenr_2018,5033,Tydal
5034,Meråker,kommunenr_1977,1711,Meråker
5034,Meråker,kommunenr_2018,5034,Meråker
5035,Stjørdal,kommunenr_1977,1714,Stjørdal
5035,Stjørdal,kommunenr_2018,5035,Stjørdal
5036,Frosta,kommunenr_1977,1717,Frosta
5036,Frosta,kommunenr_2018,5036,Frosta
5037,Levanger,kommunenr_2018,5037,Levanger
5037,Levanger,kommunenr_1977,1719,Levanger
5038,Verdal,kommunenr_1977,1721,Verdal
5038,Verdal,kommunenr_2018,5038,Verdal
5041,Snåase - Snåsa,kommunenr_1977,1736,Snåsa
5041,Snåase - Snåsa,kommunenr_2018,5041,Snåase - Snåsa
5041,Snåase - Snåsa,kommunenr_1977,1736,Snåase - Snåsa
5042,Lierne,kommunenr_2018,5042,Lierne
5042,Lierne,kommunenr_1977,1738,Lierne
5043,Raarvihke - Røyrvik,kommunenr_2018,5043,Raarvihke - Røyrvik
5043,Raarvihke - Røyrvik,kommunenr_1977,1739,Røyrvik
5043,Raarvihke - Røyrvik,kommunenr_1977,1739,Raarvihke - Røyrvik
5044,Namsskogan,kommunenr_2018,5044,Namsskogan
5044,Namsskogan,kommunenr_1977,1740,Namsskogan
5045,Grong,kommunenr_2018,5045,Grong
5045,Grong,kommunenr_1977,1742,Grong
5046,Høylandet,kommunenr_1977,1743,Høylandet
5046,Høylandet,kommunenr_2018,5046,Høylandet
5047,Overhalla,kommunenr_2018,5047,Overhalla
5047,Overhalla,kommunenr_1977,1744,Overhalla
5049,Flatanger,kommunenr_2018,5049,Flatanger
5049,Flatanger,kommunenr_1977,1749,Flatanger
5052,Leka,kommunenr_1977,1755,Leka
5052,Leka,kommunenr_2018,5052,Leka
5053,Inderøy,kommunenr_2012,1756,Inderøy
5053,Inderøy,kommunenr_1977,1723,Mosvik
5053,Inderøy,kommunenr_2018,5053,Inderøy
5053,Inderøy,kommunenr_1977,1729,Inderøy
5054,Indre Fosen,kommunenr_1977,1624,Rissa
5054,Indre Fosen,kommunenr_1977,1718,Leksvik
5054,Indre Fosen,kommunenr_2018,5054,Indre Fosen
5055,Heim,kommunenr_1977,1571,Halsa
5055,Heim,kommunenr_1977,1612,Hemne
5055,Heim,kommunenr_2018,5011,Hemne
5055,Heim,kommunenr_2020,5055,Heim
5056,Hitra,kommunenr_2024,5056,Hitra
5056,Hitra,kommunenr_1977,1617,Hitra
5056,Hitra,kommunenr_2018,5013,Hitra
5057,Ørland,kommunenr_1977,1627,Bjugn
5057,Ørland,kommunenr_2018,5017,Bjugn
5057,Ørland,kommunenr_1977,1621,Ørland
5057,Ørland,kommunenr_2018,5015,Ørland
5057,Ørland,kommunenr_2020,5057,Ørland
5058,Åfjord,kommunenr_2018,5019,Roan
5058,Åfjord,kommunenr_2018,5018,Åfjord
5058,Åfjord,kommunenr_2020,5058,Åfjord
5058,Åfjord,kommunenr_1977,1632,Roan
5058,Åfjord,kommunenr_1977,1630,Åfjord
5059,Orkland,kommunenr_2018,5016,Agdenes
5059,Orkland,kommunenr_2020,5059,Orkland
5059,Orkland,kommunenr_2018,5012,Snillfjord
5059,Orkland,kommunenr_1977,1613,Snillfjord
5059,Orkland,kommunenr_2018,5023,Meldal
5059,Orkland,kommunenr_2018,5024,Orkdal
5059,Orkland,kommunenr_1977,1636,Meldal
5059,Orkland,kommunenr_1977,1638,Orkdal
5059,Orkland,kommunenr_1977,1622,Agdenes
5060,Nærøysund,kommunenr_2020,5060,Nærøysund
5060,Nærøysund,kommunenr_2018,5050,Vikna
5060,Nærøysund,kommunenr_2018,5051,Nærøy
5060,Nærøysund,kommunenr_1977,1751,Nærøy
5060,Nærøysund,kommunenr_1977,1750,Vikna
5061,Rindal,kommunenr_2019,5061,Rindal
5061,Rindal,kommunenr_1977,1567,Rindal
5501,Tromsø,kommunenr_2020,5401,Tromsø
5501,Tromsø,kommunenr_2024,5501,Tromsø
5501,Tromsø,kommunenr_1977,1902,Tromsø
5503,Harstad - Hárstták,kommunenr_2024,5503,Harstad - Hárstták
5503,Harstad - Hárstták,kommunenr_1977,1901,Harstad
5503,Harstad - Hárstták,kommunenr_2020,5402,Harstad - Hárstták
5503,Harstad - Hárstták,kommunenr_1977,1915,Bjarkøy
5503,Harstad - Hárstták,kommunenr_2013,1903,Harstad - Hárstták
5503,Harstad - Hárstták,kommunenr_2013,1903,Harstad
5510,Kvæfjord,kommunenr_1977,1911,Kvæfjord
5510,Kvæfjord,kommunenr_2020,5411,Kvæfjord
5510,Kvæfjord,kommunenr_2024,5510,Kvæfjord
5512,Dielddanuorri - Tjeldsund,kommunenr_2024,5512,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1852,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1913,Skånland
5512,Dielddanuorri - Tjeldsund,kommunenr_2020,5412,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1852,Tjeldsund
5514,Ibestad,kommunenr_1977,1917,Ibestad
5514,Ibestad,kommunenr_2020,5413,Ibestad
5514,Ibestad,kommunenr_2024,5514,Ibestad
5516,Gratangen,kommunenr_2020,5414,Gratangen
5516,Gratangen,kommunenr_1977,1919,Gratangen
5516,Gratangen,kommunenr_2024,5516,Gratangen
5518,Loabák - Lavangen,kommunenr_1977,1920,Loabák - Lavangen
5518,Loabák - Lavangen,kommunenr_1977,1920,Lavangen
5518,Loabák - Lavangen,kommunenr_2020,5415,Loabák - Lavangen
5518,Loabák - Lavangen,kommunenr_2024,5518,Loabák - Lavangen
5520,Bardu,kommunenr_2020,5416,Bardu
5520,Bardu,kommunenr_2024,5520,Bardu
5520,Bardu,kommunenr_1977,1922,Bardu
5522,Salangen,kommunenr_2020,5417,Salangen
5522,Salangen,kommunenr_2024,5522,Salangen
5522,Salangen,kommunenr_1977,1923,Salangen
5524,Målselv,kommunenr_1977,1924,Målselv
5524,Målselv,kommunenr_2020,5418,Målselv
5524,Målselv,kommunenr_2024,5524,Målselv
5526,Sørreisa,kommunenr_1977,1925,Sørreisa
5526,Sørreisa,kommunenr_2020,5419,Sørreisa
5526,Sørreisa,kommunenr_2024,5526,Sørreisa
5528,Dyrøy,kommunenr_1977,1926,Dyrøy
5528,Dyrøy,kommunenr_2024,5528,Dyrøy
5528,Dyrøy,kommunenr_2020,5420,Dyrøy
5530,Senja,kommunenr_1977,1927,Tranøy
5530,Senja,kommunenr_2020,5421,Senja
5530,Senja,kommunenr_1977,1931,Lenvik
5530,Senja,kommunenr_1977,1929,Berg
5530,Senja,kommunenr_1977,1928,Torsken
5530,Senja,kommunenr_2024,5530,Senja
5532,Balsfjord,kommunenr_1977,1933,Balsfjord
5532,Balsfjord,kommunenr_2024,5532,Balsfjord
5532,Balsfjord,kommunenr_2020,5422,Balsfjord
5534,Karlsøy,kommunenr_2024,5534,Karlsøy
5534,Karlsøy,kommunenr_2020,5423,Karlsøy
5534,Karlsøy,kommunenr_1977,1936,Karlsøy
5536,Lyngen,kommunenr_1977,1938,Lyngen
5536,Lyngen,kommunenr_2024,5536,Lyngen
5536,Lyngen,kommunenr_2020,5424,Lyngen
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_1977,1939,Storfjord - Omasvuotna - Omasvuono
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_1977,1939,Storfjord
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_2024,5538,Storfjord - Omasvuotna - Omasvuono
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_2020,5425,Storfjord - Omasvuotna - Omasvuono
5540,Gáivuotna - Kåfjord - Kaivuono,kommunenr_1977,1940,Kåfjord
5540,Gáivuotna - Kåfjord - Kaivuono,kommunenr_1977,1940,Gáivuotna - Kåfjord
5540,Gáivuotna - Kåfjord - Kaivuono,kommunenr_1977,1940,Gáivuotna - Kåfjord - Kaivuono
5540,Gáivuotna - Kåfjord - Kaivuono,kommunenr_2020,5426,Gáivuotna - Kåfjord - Kaivuono
5540,Gáivuotna - Kåfjord - Kaivuono,kommunenr_2024,5540,Gáivuotna - Kåfjord - Kaivuono
5542,Skjervøy,kommunenr_2024,5542,Skjervøy
5542,Skjervøy,kommunenr_1977,1941,Skjervøy
5542,Skjervøy,kommunenr_2020,5427,Skjervøy
5544,Nordreisa - Ráisa - Raisi,kommunenr_2020,5428,Nordreisa - Ráisa - Raisi
5544,Nordreisa - Ráisa - Raisi,kommunenr_2024,5544,Nordreisa - Ráisa - Raisi
5544,Nordreisa - Ráisa - Raisi,kommunenr_1977,1942,Nordreisa - Ráisa - Raisi
5544,Nordreisa - Ráisa - Raisi,kommunenr_1977,1942,Nordreisa
5546,Kvænangen,kommunenr_1977,1943,Kvænangen
5546,Kvænangen,kommunenr_2024,5546,Kvænangen
5546,Kvænangen,kommunenr_2020,5429,Kvænangen
5601,Alta,kommunenr_2020,5403,Alta
5601,Alta,kommunenr_1977,2012,Alta
5601,Alta,kommunenr_2024,5601,Alta
5603,Hammerfest - Hámmerfeasta,kommunenr_1977,2017,Kvalsund
5603,Hammerfest - Hámmerfeasta,kommunenr_1992,2004,Hammerfest - Hámmerfeasta
5603,Hammerfest - Hámmerfeasta,kommunenr_2024,5603,Hammerfest - Hámmerfeasta
5603,Hammerfest - Hámmerfeasta,kommunenr_1977,2001,Hammerfest
5603,Hammerfest - Hámmerfeasta,kommunenr_1992,2004,Hammerfest
5603,Hammerfest - Hámmerfeasta,kommunenr_2020,5406,Hammerfest - Hámmerfeasta
5603,Hammerfest - Hámmerfeasta,kommunenr_1977,2016,Sørøysund
5605,Sør-Varanger,kommunenr_2020,5444,Sør-Varanger
5605,Sør-Varanger,kommunenr_1977,2030,Sør-Varanger
5605,Sør-Varanger,kommunenr_2024,5605,Sør-Varanger
5607,Vadsø,kommunenr_1977,2003,Vadsø
5607,Vadsø,kommunenr_2020,5405,Vadsø
5607,Vadsø,kommunenr_2024,5607,Vadsø
5610,Kárá?johka - Karasjok,kommunenr_2020,5437,Kárá?johka - Karasjok
5610,Kárá?johka - Karasjok,kommunenr_1977,2021,Karasjok
5610,Kárá?johka - Karasjok,kommunenr_1977,2021,Kárá?johka - Karasjok
5610,Kárá?johka - Karasjok,kommunenr_2024,5610,Kárá?johka - Karasjok
5612,Guovdageaidnu - Kautokeino,kommunenr_1977,2011,Guovdageaidnu - Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_1977,2011,Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_2020,5430,Guovdageaidnu - Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_2024,5612,Guovdageaidnu - Kautokeino
5614,Loppa,kommunenr_2024,5614,Loppa
5614,Loppa,kommunenr_2020,5432,Loppa
5614,Loppa,kommunenr_1977,2014,Loppa
5616,Hasvik,kommunenr_1977,2015,Hasvik
5616,Hasvik,kommunenr_2024,5616,Hasvik
5616,Hasvik,kommunenr_2020,5433,Hasvik
5618,Måsøy,kommunenr_2024,5618,Måsøy
5618,Måsøy,kommunenr_1977,2018,Måsøy
5618,Måsøy,kommunenr_2020,5434,Måsøy
5620,Nordkapp,kommunenr_2024,5620,Nordkapp
5620,Nordkapp,kommunenr_2020,5435,Nordkapp
5620,Nordkapp,kommunenr_1977,2019,Nordkapp
5622,Porsanger - Porsángu - Porsanki,kommunenr_1977,2020,Porsanger
5622,Porsanger - Porsángu - Porsanki,kommunenr_2024,5622,Porsanger - Porsángu - Porsanki
5622,Porsanger - Porsángu - Porsanki,kommunenr_2020,5436,Porsanger - Porsángu - Porsanki
5622,Porsanger - Porsángu - Porsanki,kommunenr_1977,2020,Porsanger - Porsángu - Porsanki
5624,Lebesby,kommunenr_2024,5624,Lebesby
5624,Lebesby,kommunenr_1977,2022,Lebesby
5624,Lebesby,kommunenr_2020,5438,Lebesby
5626,Gamvik,kommunenr_2020,5439,Gamvik
5626,Gamvik,kommunenr_2024,5626,Gamvik
5626,Gamvik,kommunenr_1977,2023,Gamvik
5628,Deatnu - Tana,kommunenr_2024,5628,Deatnu - Tana
5628,Deatnu - Tana,kommunenr_1977,2025,Tana
5628,Deatnu - Tana,kommunenr_1977,2025,Deatnu - Tana
5628,Deatnu - Tana,kommunenr_2020,5441,Deatnu - Tana
5630,Berlevåg,kommunenr_1977,2024,Berlevåg
5630,Berlevåg,kommunenr_2020,5440,Berlevåg
5630,Berlevåg,kommunenr_2024,5630,Berlevåg
5632,Båtsfjord,kommunenr_2024,5632,Båtsfjord
5632,Båtsfjord,kommunenr_1977,2028,Båtsfjord
5632,Båtsfjord,kommunenr_2020,5443,Båtsfjord
5634,Vardø,kommunenr_2024,5634,Vardø
5634,Vardø,kommunenr_2020,5404,Vardø
5634,Vardø,kommunenr_1977,2002,Vardø
5636,Unjárga - Nesseby,kommunenr_2024,5636,Unjárga - Nesseby
5636,Unjárga - Nesseby,kommunenr_2020,5442,Unjárga - Nesseby
5636,Unjárga - Nesseby,kommunenr_1977,2027,Nesseby
5636,Unjárga - Nesseby,kommunenr_1977,2027,Unjárga - Nesseby
9999,Uoppgitt,kommunenr_1977,9999,Uoppgitt

kommentar
